组态设备名称:设备配置
驱动库文件路径:f:\mcgsstu\program\drivers\通用设备\modbus\modbuscommslave\modbuscommslave_str.ui
驱动构件名称:ModbusRTUSlave
驱动构件版本:7.101300 
通道号,变量名,变量类型,通道名称,读写类型,寄存器名称,数据类型,寄存器地址,地址偏移,通道采集频次,通道处理
0,总风量,SINGLE,读写4WUB0001,读写,[4区]输出寄存器,16位 无符号二进制,1,,1,,
1,实时风量,SINGLE,读写4WUB0002,读写,[4区]输出寄存器,16位 无符号二进制,2,,1,,
2,补风风量,SINGLE,读写4WUB0003,读写,[4区]输出寄存器,16位 无符号二进制,3,,1,,
3,补风温度,SINGLE,读写4WUB0004,读写,[4区]输出寄存器,16位 无符号二进制,4,,1,,
4,设定温度,SINGLE,读写4WUB0005,读写,[4区]输出寄存器,16位 无符号二进制,5,,1,,
5,加热,SINGLE,读写4WUB0006,读写,[4区]输出寄存器,16位 无符号二进制,6,,1,,
6,补风状态,SINGLE,读写4WUB0007,读写,[4区]输出寄存器,16位 无符号二进制,7,,1,,
7,排风系数,SINGLE,读写4WUB0008,读写,[4区]输出寄存器,16位 无符号二进制,8,,1,,
8,补风系数,SINGLE,读写4WUB0009,读写,[4区]输出寄存器,16位 无符号二进制,9,,1,,
9,排风状态,SINGLE,读写4WUB0010,读写,[4区]输出寄存器,16位 无符号二进制,10,,1,,
10,启炉风量1,SINGLE,读写4WUB0011,读写,[4区]输出寄存器,16位 无符号二进制,11,,1,,
11,常驻风量1,SINGLE,读写4WUB0012,读写,[4区]输出寄存器,16位 无符号二进制,12,,1,,
12,需求风量1,SINGLE,读写4WUB0013,读写,[4区]输出寄存器,16位 无符号二进制,13,,1,,
13,实时1,SINGLE,读写4WUB0014,读写,[4区]输出寄存器,16位 无符号二进制,14,,1,,
20,启炉风量2,SINGLE,读写4WUB0021,读写,[4区]输出寄存器,16位 无符号二进制,21,,1,,
21,常驻风量2,SINGLE,读写4WUB0022,读写,[4区]输出寄存器,16位 无符号二进制,22,,1,,
22,需求风量2,SINGLE,读写4WUB0023,读写,[4区]输出寄存器,16位 无符号二进制,23,,1,,
23,实时2,SINGLE,读写4WUB0024,读写,[4区]输出寄存器,16位 无符号二进制,24,,1,,
30,启炉风量3,SINGLE,读写4WUB0031,读写,[4区]输出寄存器,16位 无符号二进制,31,,1,,
31,常驻风量3,SINGLE,读写4WUB0032,读写,[4区]输出寄存器,16位 无符号二进制,32,,1,,
32,需求风量3,SINGLE,读写4WUB0033,读写,[4区]输出寄存器,16位 无符号二进制,33,,1,,
33,实时3,SINGLE,读写4WUB0034,读写,[4区]输出寄存器,16位 无符号二进制,34,,1,,
40,启炉风量4,SINGLE,读写4WUB0041,读写,[4区]输出寄存器,16位 无符号二进制,41,,1,,
41,常驻风量4,SINGLE,读写4WUB0042,读写,[4区]输出寄存器,16位 无符号二进制,42,,1,,
42,需求风量4,SINGLE,读写4WUB0043,读写,[4区]输出寄存器,16位 无符号二进制,43,,1,,
43,实时4,SINGLE,读写4WUB0044,读写,[4区]输出寄存器,16位 无符号二进制,44,,1,,
50,启炉风量5,SINGLE,读写4WUB0051,读写,[4区]输出寄存器,16位 无符号二进制,51,,1,,
51,常驻风量5,SINGLE,读写4WUB0052,读写,[4区]输出寄存器,16位 无符号二进制,52,,1,,
52,需求风量5,SINGLE,读写4WUB0053,读写,[4区]输出寄存器,16位 无符号二进制,53,,1,,
53,实时5,SINGLE,读写4WUB0054,读写,[4区]输出寄存器,16位 无符号二进制,54,,1,,
60,启炉风量6,SINGLE,读写4WUB0061,读写,[4区]输出寄存器,16位 无符号二进制,61,,1,,
61,常驻风量6,SINGLE,读写4WUB0062,读写,[4区]输出寄存器,16位 无符号二进制,62,,1,,
62,需求风量6,SINGLE,读写4WUB0063,读写,[4区]输出寄存器,16位 无符号二进制,63,,1,,
63,实时6,SINGLE,读写4WUB0064,读写,[4区]输出寄存器,16位 无符号二进制,64,,1,,
70,启炉风量7,SINGLE,读写4WUB0071,读写,[4区]输出寄存器,16位 无符号二进制,71,,1,,
71,常驻风量7,SINGLE,读写4WUB0072,读写,[4区]输出寄存器,16位 无符号二进制,72,,1,,
72,需求风量7,SINGLE,读写4WUB0073,读写,[4区]输出寄存器,16位 无符号二进制,73,,1,,
73,实时7,SINGLE,读写4WUB0074,读写,[4区]输出寄存器,16位 无符号二进制,74,,1,,
